"n_SportID","c_Sport","c_SportShort","n_DateLocal","c_DateLocal","d_DateLocal","c_TimeFirstEventLocal","c_TimeFirstEventUTC","c_TimeLastEventLocal","c_TimeLastEventUTC","n_NrOfEvents","n_NrOfPhases","n_NrOfMatches","n_MedalsGold","n_MedalsSilver","n_MedalsBronze"
217,"Figure Skating","FSK",20220214,"2022-02-14T00:00:00","/Date(1644796800000+0000)/","2022-02-14T09:15:00","2022-02-14T01:15:00","2022-02-14T09:15:00","2022-02-14T01:15:00",1,1,0,1,1,1
217,"Figure Skating","FSK",20220215,"2022-02-15T00:00:00","/Date(1644883200000+0000)/","2022-02-15T18:00:00","2022-02-15T10:00:00","2022-02-15T18:00:00","2022-02-15T10:00:00",1,1,0,0,0,0
217,"Figure Skating","FSK",20220216,"2022-02-16T00:00:00","/Date(1644969600000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
217,"Figure Skating","FSK",20220217,"2022-02-17T00:00:00","/Date(1645056000000+0000)/","2022-02-17T18:00:00","2022-02-17T10:00:00","2022-02-17T18:00:00","2022-02-17T10:00:00",1,1,0,1,1,1
217,"Figure Skating","FSK",20220218,"2022-02-18T00:00:00","/Date(1645142400000+0000)/","2022-02-18T18:30:00","2022-02-18T10:30:00","2022-02-18T18:30:00","2022-02-18T10:30:00",1,1,0,0,0,0
217,"Figure Skating","FSK",20220219,"2022-02-19T00:00:00","/Date(1645228800000+0000)/","2022-02-19T19:00:00","2022-02-19T11:00:00","2022-02-19T19:00:00","2022-02-19T11:00:00",1,1,0,1,1,1
217,"Figure Skating","FSK",20220220,"2022-02-20T00:00:00","/Date(1645315200000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220202,"2022-02-02T00:00:00","/Date(1643760000000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220203,"2022-02-03T00:00:00","/Date(1643846400000+0000)/","2022-02-03T18:00:00","2022-02-03T10:00:00","2022-02-03T19:45:00","2022-02-03T11:45:00",2,2,0,0,0,0
221,"Freestyle Skiing","FRS",20220204,"2022-02-04T00:00:00","/Date(1643932800000+0000)/",NA,NA,NA,NA,0,0,0,0,0,0
221,"Freestyle Skiing","FRS",20220205,"2022-02-05T00:00:00","/Date(1644019200000+0000)/","2022-02-05T18:00:00","2022-02-05T10:00:00","2022-02-05T19:30:00","2022-02-05T11:30:00",1,2,0,1,1,1
221,"Freestyle Skiing","FRS",20220206,"2022-02-06T00:00:00","/Date(1644105600000+0000)/","2022-02-06T18:00:00","2022-02-06T10:00:00","2022-02-06T19:30:00","2022-02-06T11:30:00",1,2,0,1,1,1
221,"Freestyle Skiing","FRS",20220207,"2022-02-07T00:00:00","/Date(1644192000000+0000)/","2022-02-07T09:30:00","2022-02-07T01:30:00","2022-02-07T13:30:00","2022-02-07T05:30:00",2,2,0,0,0,0
221,"Freestyle Skiing","FRS",20220208,"2022-02-08T00:00:00","/Date(1644278400000+0000)/","2022-02-08T10:00:00","2022-02-08T02:00:00","2022-02-08T10:00:00","2022-02-08T02:00:00",1,1,0,1,1,1
221,"Freestyle Skiing","FRS",20220209,"2022-02-09T00:00:00","/Date(1644364800000+0000)/","2022-02-09T11:00:00","2022-02-09T03:00:00","2022-02-09T11:00:00","2022-02-09T03:00:00",1,1,0,1,1,1
221,"Freestyle Skiing","FRS",20220210,"2022-02-10T00:00:00","/Date(1644451200000+0000)/","2022-02-10T19:00:00","2022-02-10T11:00:00","2022-02-10T19:00:00","2022-02-10T11:00:00",1,1,0,1,1,1
