"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1,1018298,"UNTERWEGER Lisa","UNTERWEGER L","Lisa","Unterweger","59",59,  151, 2219,Austria,AUT,31,31,"31","+2:55.8","31:02.1",1862100,175800,TRUE,FALSE,1
1,1356907,"SWIRBUL Hailey","SWIRBUL H","Hailey","Swirbul","27",27,    5, 2209,United States,USA,32,32,"32","+2:59.0","31:05.3",1865300,179000,TRUE,FALSE,1
1,1018296,"GIMMLER Laura","GIMMLER L","Laura","Gimmler","23",23,    2, 2206,Germany,GER,33,33,"33","+2:59.3","31:05.6",1865600,179300,TRUE,FALSE,1
1,1352021,"JANATOVA Katerina","JANATOVA K","Katerina","Janatová","6", 6,   17, 2240,Czech Republic,CZE,34,34,"34","+3:00.9","31:07.2",1867200,180900,TRUE,FALSE,1
1,1240738,"GANZ Caterina","GANZ C","Caterina","Ganz","53",53,    6, 2210,Italy,ITA,35,35,"35","+3:01.8","31:08.1",1868100,181800,TRUE,FALSE,1
1,1135223,"STEWART-JONES Katherine","STEWART-JONES K","Katherine","Stewart-Jones","24",24,  159, 2231,Canada,CAN,36,36,"36","+3:02.3","31:08.6",1868600,182300,TRUE,FALSE,1
1,2079824,"DI CENTA Martina","DI CENTA M","Martina","Di Centa","51",51,    6, 2210,Italy,ITA,37,37,"37","+3:02.5","31:08.8",1868800,182500,TRUE,FALSE,1
1, 848471,"SCARDONI Lucia","SCARDONI L","Lucia","Scardoni","14",14,    6, 2210,Italy,ITA,38,38,"38","+3:03.2","31:09.5",1869500,183200,TRUE,FALSE,1
1,1231777,"CHI Chunxue","CHI C","Chunxue","Chi","18",18,   26, 2770,China,CHN,39,39,"39","+3:04.3","31:10.6",1870600,184300,TRUE,FALSE,1
1,1477960,"BENTZ Coralie","BENTZ C","Coralie","Bentz","20",20,  144, 2202,France,FRA,40,40,"40","+3:11.3","31:17.6",1877600,191300,TRUE,FALSE,1
1,1629739,"GAL Melissa","GAL M","Melissa","Gal","37",37,  144, 2202,France,FRA,41,41,"41","+3:19.4","31:25.7",1885700,199400,TRUE,FALSE,1
1,1023378,"HYNCICOVA Petra","HYNCICOVA P","Petra","Hyncicová","47",47,   17, 2240,Czech Republic,CZE,42,42,"42","+3:21.7","31:28.0",1888000,201700,TRUE,FALSE,1
1,1947572,"KAELIN Nadja","KAELIN N","Nadja","Kälin","13",13,  149, 2213,Switzerland,SUI,43,43,"43","+3:23.4","31:29.7",1889700,203400,TRUE,FALSE,1
1,1294065,"MYHRVOLD Mathilde","MYHRVOLD M","Mathilde","Myhrvold","39",39,  153, 2221,Norway,NOR,44,44,"44","+3:29.7","31:36.0",1896000,209700,TRUE,FALSE,1
1, 657143,"LI Xin","LI X","Xin","Li","4", 4,   26, 2770,China,CHN,45,45,"45","+3:30.6","31:36.9",1896900,210600,TRUE,FALSE,1
1,2180285,"TSUCHIYA Masae","TSUCHIYA M","Masae","Tsuchiya","3", 3,   18, 2241,Japan,JPN,46,46,"46","+3:35.2","31:41.5",1901500,215200,TRUE,FALSE,1
1,1475610,"VILA Carola","VILA C","Carola","Vila","31",31,  155, 2227,Andorra,AND,47,47,"47","+3:38.7","31:45.0",1905000,218700,TRUE,FALSE,1
